artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Hiphop Tamizha,Enna Nadanthalum,7yk8CT3m3KI8u6DEWc3dFk,2017,245064,52,0.263,0.733,0.752,0,0.157,-3.472,0.034,87.996,4,0.763
A.R. Rahman,Innum Konjam Naeram,5KJSI1MjQeXEBHBYMjgP41,2013,313533,63,0.509,0.647,0.389,7.80E-06,0.103,-10.35,0.0336,134.976,3,0.436
Anirudh Ravichander,Andha Kanna Paathaakaa,0qvoxfYodIfe14gaidhnsV,2020,194500,60,0.301,0.747,0.86,0.0383,0.0743,-4.071,0.279,90.445,4,0.625
Darbuka Siva,Visiri,5Mt9VMVJc2T5Pa3qKUfw9t,2019,311127,54,0.656,0.589,0.346,3.29E-05,0.131,-8.742,0.0302,114.843,4,0.54
Devi Sri Prasad,En Idhayam,2BB7wu5jJxxAEH9DKC5Mm4,2010,274053,45,0.378,0.691,0.687,0.00547,0.15,-3.963,0.0655,89.899,4,0.882
Ilaiyaraaja,"Unna Nenachu (From ""Psycho (Tamil)"")",5KW8kOHmXqkDEdj6JyP3dJ,2019,275503,57,0.891,0.331,0.235,2.98E-06,0.107,-13.816,0.0411,82.511,4,0.252
A.R. Rahman,Mazhai Kuruvi,76UZxtnQZvglMQQbGFYmWx,2018,348206,54,0.639,0.772,0.478,0.00203,0.111,-11.146,0.0371,130.052,4,0.245
Harris Jayaraj,Ennamo Yeadho,25SOVnk2agskqzqeKPcx2Q,2011,333600,57,0.0439,0.793,0.571,0.000215,0.193,-6.289,0.0341,90.986,4,0.692
Hiphop Tamizha,Hi Sonna Pothum,2YRVd8cvSqT2Zta5TGTPRF,2019,230430,52,0.285,0.482,0.696,2.03E-06,0.115,-6.646,0.089,183.932,4,0.655
Anirudh Ravichander,Yennai Maatrum Kadhale,6RXJKdpBp6AVL6H6sHyNp0,2015,274678,59,0.46,0.515,0.766,3.27E-06,0.136,-7.291,0.0936,112.457,3,0.346
James Vasanthan,Kangal Irandal,3IpEJ86hrMfUcoXCk9U4h3,2008,322013,63,0.275,0.797,0.452,6.45E-05,0.075,-8.325,0.0271,104.998,4,0.661
Sid Sriram,"Pularaadha (From ""Dear Comrade"")",2evwKEXIO4b6y7aOnkUvxu,2019,261572,52,0.845,0.561,0.308,5.56E-06,0.212,-9.495,0.0251,97.961,4,0.442
Various Artists,Venpani Malare Male (The Romance Of Power Paandi),5xZO9FskRd29medT2Psd1z,2017,233333,47,0.787,0.618,0.434,0.00159,0.125,-11.006,0.0546,89.97,4,0.47
Sam C.S.,"Yaaradiyo - From ""Gorilla""",3kSwYM5KYE0qqKDJlRttpa,2018,228585,44,0.376,0.691,0.64,0,0.209,-6.472,0.06,95.973,4,0.312
Harris Jayaraj,Idhayathai Yedho Ondru,23bpCCVsTUKviTEfoy4tbM,2015,235391,56,0.845,0.721,0.496,0,0.11,-8.063,0.0508,131.969,3,0.217
Leon James,Haiyo Haiyo - Remix,5qeNNhwKVG0l5flmENROfi,2020,134528,28,0.481,0.798,0.749,0.000595,0.136,-5.404,0.0455,122.96,4,0.418
Nivas K Prasanna,Vinmeen,3kfu3KKaiTAfohtpWq1tew,2014,296899,56,0.113,0.713,0.534,1.35E-05,0.0952,-7.622,0.0447,100.01,4,0.285
Satish Chakravarthy,Jilendru Oru Kalavaram,28UyOnTStRpRK7QEveBqak,2009,274213,35,0.0165,0.708,0.816,0.000109,0.122,-4.151,0.058,90.002,4,0.703
A.R. Rahman,Unakaga,5RR6Q4yCrbGiRCU5YbpNaY,2019,266053,54,0.678,0.58,0.414,2.26E-05,0.257,-10.928,0.0343,136.93,3,0.27
Yuvan Shankar Raja,Ariyadha Vayasu,0Nfw28ZsBiOXmFKP636P7h,2006,229997,47,0.113,0.719,0.566,3.94E-06,0.075,-6.156,0.0434,164.939,4,0.759
Vijay Antony,Aen Enakku,0fKqlihU1gGCFPuc4ii1ju,2007,309106,48,0.399,0.629,0.785,4.06E-06,0.0718,-4.714,0.08,83.963,4,0.706
Yuvan Shankar Raja,Anbae Peranbae,6qRiVOBexkxK4BxSt1j6rn,2019,269333,59,0.481,0.685,0.561,0.00181,0.16,-4.185,0.0298,90.023,4,0.312
Justin Prabhakaran,Adiyae Azhagae,1nIMRpxCoLzdwvlWG2o7zK,2015,289404,48,0.572,0.718,0.486,1.61E-06,0.0868,-8.507,0.057,79.999,4,0.511
James Vasanthan,Oru Vetkam Varudhe,4KC4Dhf24a8mcLERLzQTdP,2009,357720,40,0.521,0.659,0.437,0.00152,0.134,-11.527,0.0322,96.993,4,0.336
Chinmayi,"96 Yamune Aatrile Title Track (From ""96 Yamune Aatrile"")",26r24NwnbYq6eYeRhI0vlL,2019,104884,39,0.837,0.343,0.45,0.069,0.753,-15.224,0.348,115.345,4,0.0385
D. Imman,Yembuttu Irukkuthu Aasai,0srLmMJws5nv8d1n9qrtro,2017,269832,54,0.443,0.687,0.558,0,0.186,-5.858,0.0256,118.007,4,0.617
Justin Prabhakaran,Anthimaalai Neram,066zM9sFYBE7Byy1UsRwiB,2019,237792,45,0.562,0.617,0.412,0,0.203,-9.578,0.128,139.875,4,0.66
Anirudh Ravichander,Sirikkadhey,4NQBqInyE7zvjIiP4j1dmy,2016,245888,61,0.151,0.632,0.629,0.00382,0.114,-7.392,0.0354,87.998,4,0.456
Anirudh Ravichander,"Nanbiye - From ""Teddy""",1AdLxSuPIZRsIp7IM743dE,2020,266250,47,0.388,0.405,0.661,0,0.111,-4.897,0.0335,108.03,4,0.583
Anirudh Ravichander,Po Indru Neeyaga,7fttjqzmvgvpRQoOzyYng3,2016,223326,62,0.262,0.489,0.595,0,0.0813,-3.788,0.0273,144.859,3,0.459
Anirudh Ravichander,"Ilamai Thirumbudhe - From ""Petta""",4IUGuoJ41g5fLIqsO1MJoU,2018,217000,57,0.719,0.395,0.425,0,0.175,-7.616,0.0625,167.863,4,0.457
Anirudh Ravichander,Kalyana Vayasu,09BF3kcZeMEG4Wzu0C4M9X,2018,239674,51,0.367,0.799,0.69,7.77E-05,0.151,-5.427,0.223,108.021,4,0.689
A.R. Rahman,Verithanam,1wPWGI2rjtTXEhiAylGKtF,2019,245840,50,0.323,0.6,0.876,0,0.0376,-8.179,0.321,89.91,4,0.694
Radhan,Yaen Ennai Pirindhaai - Male,2GYzXSeNa3Y0BfIfS1VJj3,2019,198250,69,0.818,0.563,0.432,7.61E-06,0.119,-7.862,0.0278,76.499,4,0.348
Anirudh Ravichander,"Marana Mass - From ""Petta""",7j7fS14vlwVk0Pfnr0hovC,2018,216000,56,0.47,0.471,0.873,8.13E-05,0.146,-5.503,0.373,78.434,4,0.737
D. Imman,Gaandakannazhagi,6oq9EhpHVx5XnCzRtWKFz7,2019,243520,50,0.132,0.731,0.872,0,0.121,-3.617,0.131,128.003,4,0.931
Hiphop Tamizha,Paisa Note,1SfZww9mRI9bWHqfvZItl1,2019,184636,48,0.202,0.66,0.941,0.00012,0.17,-5.647,0.26,161.155,4,0.764
Various Artists,Kadhal Psycho,5KAIBGTYKIYQ0OsSvUDQdU,2019,166372,44,0.0493,0.904,0.75,0.000295,0.0637,-2.592,0.0639,95.072,4,0.773
A.R. Rahman,Singappenney,44z3FoAoo7yvn4ZIvvsQIm,2019,364109,44,0.187,0.74,0.652,1.28E-05,0.115,-8.561,0.074,140.03,4,0.524
Anirudh Ravichander,"Ullaallaa - From ""Petta""",2LLZkWMReCWhgTrHuRh6dV,2018,296000,54,0.403,0.536,0.814,1.08E-05,0.0501,-4.504,0.282,99.774,3,0.704
D. Imman,Mailaanji,11e0KIuKNNgpPfgfPR3rHL,2019,243078,51,0.507,0.32,0.747,0,0.138,-5.773,0.158,194.858,3,0.581
Ghibran,"I Want a Girl (From ""Dhanusu Raasi Neyargalae"")",38aCi6ZWSlyl65PJrE3jlz,2019,197343,26,0.141,0.798,0.824,0,0.104,-5.19,0.179,127.922,4,0.626
Santhosh Narayanan,Kulirudha Pulla,3spahFLlYT9DappCXaDdab,2019,298733,47,0.908,0.284,0.277,2.90E-05,0.0958,-11.399,0.0363,94.8,4,0.141
D. Imman,Yenga Annan,3iQi4U88pzLcMrpDRwJM2o,2019,267878,37,0.106,0.656,0.928,0,0.128,-3.914,0.161,89.984,4,0.873
Justin Prabhakaran,Pularaadha,1cdLVmeny9UUT64CkiyL1B,2019,261572,39,0.845,0.561,0.308,5.56E-06,0.212,-9.495,0.0251,97.961,4,0.442
Yuvan Shankar Raja,Endhan Kangalai,07FXrdumvFHqyvsrAOhN0x,2019,214200,20,0.484,0.72,0.458,1.17E-05,0.228,-10.065,0.0292,100.035,4,0.193
Sean Roldan,Vellattu Kannazhagi,5McHUo9Z2Yu7vYJFN601Eq,2019,234212,30,0.445,0.574,0.531,7.07E-06,0.11,-7.533,0.0847,89.517,4,0.803
Vivek - Mervin,Kamala,3CsmkcyOesZH7MJ3N3eJQB,2019,239172,30,0.0557,0.764,0.907,3.44E-06,0.111,-5.405,0.0754,144.968,4,0.717
